date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2011-07,97,2.4298401420959146,78.4967824967825,18.37757731958763,0,0,2,4,9,70,73,79,83,88,10,15,18,22,28
2011-08,169,,,,,,,,,,,,,,,,,,
2011-09,111,,,,,,,,,,,,,,,,,,
2011-10,54,3.26144578313253,71.06126914660831,24.611597374179432,0,1,3,5,8,62,67,72,75,78,18,21,25,28,32
2011-11,29,,,,,,,,,,,,,,,,,,
2011-12,227,,,,,,,,,,,,,,,,,,
2012-01,178,3.0432432432432432,78.31228668941979,17.802385008517888,0,1,3,5,6,73,75,78,81,83,12,15,18,21,23
2012-02,113,,,,,,,,,,,,,,,,,,
2012-03,86,,,,,,,,,,,,,,,,,,
2012-04,225,2.1548556430446193,81.02963776070253,15.859802847754654,0,1,2,4,5,75,78,81,84,87,10,13,16,19,22
2012-05,57,,,,,,,,,,,,,,,,,,
2012-06,63,,,,,,,,,,,,,,,,,,
2012-07,65,,,,,,,,,,,,,,,,,,
2012-08,153,,,,,,,,,,,,,,,,,,
2012-09,85,,,,,,,,,,,,,,,,,,
2012-10,121,2.142857142857143,70.57829181494662,26.718360071301248,0,1,2,4,6,62,68,71,74,76,22,24,27,29,32
2012-11,224,,,,,,,,,,,,,,,,,,
2012-12,277,,,,,,,,,,,,,,,,,,
2013-01,138,,,,,,,,,,,,,,,,,,
2013-02,26,,,,,,,,,,,,,,,,,,
2013-03,195,,,,,,,,,,,,,,,,,,
2013-04,59,2.563858695652174,84.08513189448442,12.450721153846153,0,1,2,4,6,74,79,84,89,93,3,7,13,18,23
2013-05,12,,,,,,,,,,,,,,,,,,
2013-06,23,,,,,,,,,,,,,,,,,,
2013-07,44,1.4055829228243022,81.8075117370892,16.567251461988302,0,0,1,2,3,73,77,82,86,91,8,13,16,21,25
2013-08,47,,,,,,,,,,,,,,,,,,
2013-09,36,,,,,,,,,,,,,,,,,,
2013-10,194,2.392546583850932,73.88524590163935,22.930131004366814,0,1,2,4,5,69,71,74,77,79,18,20,23,25,28
2013-11,182,,,,,,,,,,,,,,,,,,
2013-12,79,,,,,,,,,,,,,,,,,,
2014-01,158,5.25,69.86666666666666,23.466666666666665,0,3,5,8,11,66,67,70,72,75,19,22,24,25,26
2014-02,95,,,,,,,,,,,,,,,,,,
2014-03,295,,,,,,,,,,,,,,,,,,
2014-04,46,4.033834586466165,77.51366120218579,17.84135667396061,0,1,3,6,11,63,70,78,84,90,6,11,19,24,29
2014-05,11,,,,,,,,,,,,,,,,,,
2014-06,73,,,,,,,,,,,,,,,,,,
2014-07,15,1.5565610859728507,78.76463963963964,19.17435320584927,0,0,1,3,4,70,73,78,85,90,9,13,20,25,28
2014-08,189,,,,,,,,,,,,,,,,,,
