date,rain(mm),bare_mean,green_mean,non_green_mean,bare5percentile,bare20percentile,bare50percentile,bare80percentile,bare95percentile,green5percentile,green20percentile,green50percentile,green80percentile,green95percentile,nongreen5percentile,nongreen20percentile,nongreen50percentile,nongreen80percentile,nongreen95percentile
2015-04,12,1.9749058971141782,76.66968735840507,21.013140009062074,0,0,2,3,6,62,70,78,83,89,10,15,21,27,33
2015-05,257,,,,,,,,,,,,,,,,,,
2015-06,39,,,,,,,,,,,,,,,,,,
2015-07,137,2.3849394418114795,72.82827506723012,24.557692307692307,0,0,2,4,8,60,67,73,79,84,15,20,25,29,34
2015-08,31,,,,,,,,,,,,,,,,,,
2015-09,109,,,,,,,,,,,,,,,,,,
2015-10,189,10.226334519572953,52.592233009708735,36.768883150419626,0,2,7,18,32,18,40,57,65,73,24,31,36,42,50
2015-11,79,,,,,,,,,,,,,,,,,,
2015-12,52,,,,,,,,,,,,,,,,,,
2016-01,372,5.557384545038866,64.11042944785277,30.129934840935224,0,1,4,10,14,39,49,69,77,82,16,21,28,41,47
2016-02,100,,,,,,,,,,,,,,,,,,
2016-03,95,,,,,,,,,,,,,,,,,,
2016-04,59,3.0577114427860694,71.33063271604938,25.433706996521067,0,1,2,5,9,45,55,76,84,90,9,15,22,39,47
2016-05,84,,,,,,,,,,,,,,,,,,
2016-06,59,,,,,,,,,,,,,,,,,,
2016-07,41,3.214430894308943,68.79728682170543,27.812064965197216,0,1,2,6,10,46,56,73,79,85,14,19,26,38,44
2016-08,95,,,,,,,,,,,,,,,,,,
2016-09,76,,,,,,,,,,,,,,,,,,
2016-10,296,4.4903981264637,63.21740797546012,32.026830203142964,0,1,3,8,12,43,51,67,73,78,19,25,31,40,46
2016-11,34,,,,,,,,,,,,,,,,,,
2016-12,120,,,,,,,,,,,,,,,,,,
2017-01,68,4.106951871657754,66.14079273327829,29.23937267849773,0,1,3,7,11,46,54,69,76,84,14,22,29,38,45
2017-02,19,,,,,,,,,,,,,,,,,,
2017-03,384,,,,,,,,,,,,,,,,,,
2017-04,97,2.4580612757408336,71.04723502304148,26.148404459823144,0,1,2,4,7,50,59,74,82,89,10,17,25,37,44
2017-05,115,,,,,,,,,,,,,,,,,,
2017-06,68,,,,,,,,,,,,,,,,,,
2017-07,31,2.6319018404907975,67.80332302936631,29.24468496327793,0,1,2,4,8,48,57,70,77,85,13,21,29,38,44
2017-08,25,,,,,,,,,,,,,,,,,,
2017-09,65,,,,,,,,,,,,,,,,,,
2017-10,63,4.2810690423162585,61.13333333333333,33.98926791874281,0,1,3,7,11,45,52,63,69,76,22,28,34,40,45
2017-11,145,,,,,,,,,,,,,,,,,,
2017-12,328,,,,,,,,,,,,,,,,,,
2018-01,79,4.176089771255935,62.315809669992326,32.74521072796935,0,1,3,7,10,44,51,64,73,80,18,24,33,42,46
2018-02,31,,,,,,,,,,,,,,,,,,
2018-03,121,,,,,,,,,,,,,,,,,,
2018-04,11,5.128360797918473,62.63765337423313,31.715381664748755,0,1,4,9,13,41,50,65,74,81,17,23,31,41,48
2018-05,29,,,,,,,,,,,,,,,,,,
2018-06,1,,,,,,,,,,,,,,,,,,
2018-07,56,3.72,65.024504084014,31.038656774697383,0,1,2,7,11,45,52,67,76,84,15,23,31,41,46
2018-08,51,,,,,,,,,,,,,,,,,,
2018-09,52,,,,,,,,,,,,,,,,,,
2018-10,40,4.368665736866574,61.13976297507152,33.81814466693911,0,1,4,7,11,44,49,63,71,77,20,26,33,42,47
2018-11,95,,,,,,,,,,,,,,,,,,
2018-12,78,,,,,,,,,,,,,,,,,,
2019-01,25,5.2272727272727275,62.47322899505766,31.20082474226804,0,2,5,8,11,47,53,64,71,77,19,25,31,38,43
